eyesight,aggression,speed,strength,stamina,eyesight_bin,aggression_bin,speed_bin,strength_bin,stamina_bin
0.0,1.0,0.0,0.0,0.42857142857142855,Low,High,Low,Low,Medium
0.0,1.0,0.0,0.0,0.2857142857142857,Low,High,Low,Low,Low
0.0,0.25,0.0,1.0,0.14285714285714285,Low,Low,Low,High,Low
0.0,0.25,0.0,0.0,0.2857142857142857,Low,Low,Low,Low,Low
0.0,0.25,0.0,0.0,0.0,Low,Low,Low,Low,Low
0.0,0.25,0.0,0.5,0.0,Low,Low,Low,Medium,Low
0.8571428571428571,0.25,0.3333333333333333,1.0,0.42857142857142855,High,Low,Medium,High,Medium
0.8571428571428571,0.5,0.6666666666666666,1.0,0.7142857142857143,High,Medium,High,High,High
0.8571428571428571,0.5,0.3333333333333333,1.0,0.42857142857142855,High,Medium,Medium,High,Medium
0.8571428571428571,0.5,0.6666666666666666,1.0,0.7142857142857143,High,Medium,High,High,High
0.0,0.0,0.0,0.0,0.8571428571428571,Low,Low,Low,Low,High
0.0,0.0,0.0,1.0,0.14285714285714285,Low,Low,Low,High,Low
0.0,1.0,0.0,1.0,0.42857142857142855,Low,High,Low,High,Medium
1.0,0.5,1.0,0.0,0.8571428571428571,High,Medium,High,Low,High
1.0,0.5,1.0,0.0,0.8571428571428571,High,Medium,High,Low,High
1.0,0.5,1.0,0.0,1.0,High,Medium,High,Low,High
1.0,0.5,1.0,0.0,0.8571428571428571,High,Medium,High,Low,High
1.0,0.5,1.0,0.5,0.8571428571428571,High,Medium,High,Medium,High
1.0,0.5,1.0,0.0,1.0,High,Medium,High,Low,High
1.0,0.5,1.0,0.0,0.8571428571428571,High,Medium,High,Low,High
1.0,0.5,1.0,0.0,1.0,High,Medium,High,Low,High
1.0,0.5,1.0,0.0,0.8571428571428571,High,Medium,High,Low,High
1.0,0.5,1.0,0.5,0.8571428571428571,High,Medium,High,Medium,High
0.0,0.0,0.0,0.0,0.0,Low,Low,Low,Low,Low
0.0,0.75,0.0,0.0,0.14285714285714285,Low,High,Low,Low,Low
0.0,0.75,0.0,0.0,0.14285714285714285,Low,High,Low,Low,Low
0.0,0.25,0.0,0.5,0.8571428571428571,Low,Low,Low,Medium,High
0.0,0.25,0.0,0.5,0.8571428571428571,Low,Low,Low,Medium,High
0.0,0.75,0.0,0.0,0.0,Low,High,Low,Low,Low
