eyesight,aggression,speed,strength,stamina,eyesight_bin,aggression_bin,speed_bin,strength_bin,stamina_bin
0.3333333333333333,0.5,0.3333333333333333,0.375,0.625,Medium,Medium,Medium,Medium,Medium
0.3333333333333333,0.5,0.6666666666666666,0.625,0.5,Medium,Medium,High,Medium,Medium
0.3333333333333333,0.5,0.0,0.375,0.625,Medium,Medium,Low,Medium,Medium
0.3333333333333333,0.5,1.0,0.625,0.5,Medium,Medium,High,Medium,Medium
0.3333333333333333,0.5,0.3333333333333333,0.375,0.5,Medium,Medium,Medium,Medium,Medium
0.3333333333333333,0.5,0.0,0.25,0.25,Medium,Medium,Low,Low,Low
0.3333333333333333,0.3333333333333333,0.0,0.375,0.5,Medium,Medium,Low,Medium,Medium
0.3333333333333333,0.5,0.6666666666666666,0.625,0.5,Medium,Medium,High,Medium,Medium
0.3333333333333333,0.5,0.3333333333333333,0.375,0.5,Medium,Medium,Medium,Medium,Medium
0.3333333333333333,0.3333333333333333,0.0,0.375,0.5,Medium,Medium,Low,Medium,Medium
0.3333333333333333,0.5,0.0,0.25,0.25,Medium,Medium,Low,Low,Low
0.3333333333333333,0.3333333333333333,0.6666666666666666,0.625,0.5,Medium,Medium,High,Medium,Medium
0.3333333333333333,0.6666666666666666,0.6666666666666666,0.75,0.5,Medium,High,High,High,Medium
0.3333333333333333,0.6666666666666666,1.0,0.625,0.375,Medium,High,High,Medium,Medium
0.3333333333333333,0.5,0.6666666666666666,0.625,0.5,Medium,Medium,High,Medium,Medium
0.3333333333333333,0.5,0.3333333333333333,0.625,0.5,Medium,Medium,Medium,Medium,Medium
0.3333333333333333,0.5,0.3333333333333333,0.375,0.5,Medium,Medium,Medium,Medium,Medium
0.3333333333333333,0.5,0.6666666666666666,0.625,0.25,Medium,Medium,High,Medium,Low
0.3333333333333333,0.5,0.3333333333333333,0.375,0.5,Medium,Medium,Medium,Medium,Medium
0.5,0.5,0.6666666666666666,0.5,0.375,Medium,Medium,High,Medium,Medium
